period,mmm_b2c_acq_dma,gross_add_true,gross_add_tot,dm_volume,dm_spend,audio_spend,video_spend,display_spend,paid_search_spend_brand,paid_search_spend_unbranded,paid_search_spend,social_spend,spot_tv_gm_spend,spot_tv_mc_spend,spot_tv_spend,dr_gm_tv_spend,dr_mc_tv_spend,tv_spend,radio_gm_spend,radio_mc_spend,radio_spend,print_spend,radio_land_gm_spend,radio_land_mc_spend,radio_dj_gm_spend,radio_dj_mc_spend,sp_price,dp_price,premier_video_offer,financial_offer,equipment_offer,istart_offer,financial_offer_amount,tot_offer_cnt,winback_offer,competitive_offer,google_altice_search_idx,google_comp_search_idx,google_non_brand_search_idx,competition,hh_cnt,avg_tot_bill_per_hh,avg_video_bill_per_hh,avg_ov_bill_per_hh,avg_ool_bill_per_hh,inflation,big_holiday,end_of_month,q4_tag,yearend_flag,awnd,prcp,snow,snwd,tmax,tmin,wdf2,wdf5,wsf2,wsf5,covid_cum_confirmed_cases,covid_cum_deaths,covid_daily_confirmed_cases,covid_daily_deaths,home_pass,hurricane_search
2017-12-31,ABILENE-SWEETWATER TX,212,285,26044.418771623998,7079.970151129854,0.0,249.33,1187.0,636.31,1110.56,1746.87,391.0,0.0,0.0,7409.0,0.0,0.0,7409.0,3156.0,0.0,3156.0,0.0,0.0,0.0,0.0,0.0,39.99,69.99,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.1052631578947372,294,88.38,36.13,2.17,50.08,2.1,1.0,1,1,1,8.857142857142858,0.002146116780045352,0.0,0.0,42.53174603174603,19.666666666666664,227.14285714285717,174.28571428571428,17.57142857142857,22.71428571428571,0.0,0.0,0.0,0.0,84419.0,1.0
2017-12-31,ALEXANDRIA LA,124,153,26124.631598428005,7101.775376444722,0.0,161.18,1688.94,922.59,1032.67,1955.26,598.0,0.0,0.0,9535.6,0.0,0.0,9535.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.99,69.99,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.1052631578947372,172,92.06,40.75,2.94,48.37,2.1,1.0,1,1,1,5.1089285714285735,0.015813492063492064,0.0,0.0,43.50761183261183,23.08567821067821,150.89285714285714,181.25,12.689285714285715,17.86071428571429,0.0,0.0,0.0,0.0,84679.0,1.0
2017-12-31,AMARILLO TX,311,420,44641.316406588,12135.390328239546,0.0,137.92,2774.57,1396.8,918.81,2315.61,915.0,0.0,0.0,7635.25,0.0,0.0,7635.25,4521.0,0.0,4521.0,0.0,0.0,0.0,0.0,0.0,39.99,69.99,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.1052631578947372,435,81.89,31.55,1.99,48.34,2.1,1.0,1,1,1,9.428571428571429,3.571428571428572e-05,0.001636904761904762,0.004081632653061225,39.60004578754579,10.79647435897436,140.9523809523809,165.71428571428572,17.58571428571429,21.957142857142852,0.0,0.0,0.0,0.0,144698.0,1.5
2017-12-31,AUSTIN TX,187,205,24963.077545516,6786.016054048137,0.0,1802.6,4377.71,766.22,6109.0,6875.22,889.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.99,69.99,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.1052631578947372,213,88.98,34.27,3.16,51.56,2.1,1.0,1,1,1,5.576428571428571,0.002449931002555327,0.0025604492126231264,0.001360544217687075,47.05425824175824,26.56524725274725,259.0,257.7142857142857,13.248571428571427,18.11,0.0,0.0,0.0,0.0,80914.0,1.0
2017-12-31,All Other Suddenlink DMA Total,756,1041,98926.15358942801,26892.295839688053,0.0,6150.18,19447.27,3457.71,27690.27,31147.98,5902.0,0.0,0.0,6754.0,0.0,0.0,6754.0,2406.0,0.0,2406.0,0.0,0.0,0.0,0.0,0.0,39.99,69.99,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.1052631578947372,560,82.37315789473685,36.565263157894734,1.6226315789473684,44.18473684210525,2.1,1.0,1,1,1,5.911133142651,0.017600559361496456,0.056072994541537226,1.234551621352334,40.85230401067526,21.10071322763189,177.95998247783962,188.2894763966192,13.1228089569161,16.837678313749738,0.0,0.0,0.0,0.0,320654.0,2.217803030303031
2017-12-31,BLUEFIELD-BECKLEY-OAK HILL WV,84,105,26030.535254372004,7076.196026293404,0.0,382.86,1493.06,1001.65,1308.22,2309.87,520.0,0.0,0.0,1831.75,0.0,0.0,1831.75,3186.0,0.0,3186.0,0.0,0.0,0.0,0.0,0.0,39.99,69.99,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.1052631578947372,173,92.47,43.75,3.44,45.28,2.1,1.0,1,1,1,8.092857142857143,0.01299310776942356,0.2058270676691729,0.7405137844611529,19.473214285714285,1.4657738095238098,297.14285714285717,300.7142857142857,17.678571428571427,24.507142857142853,0.0,0.0,0.0,0.0,84374.0,4.0
2017-12-31,CHARLESTON-HUNTINGTON WV,306,372,64340.532567696006,17490.467116255833,0.0,1761.0,4982.4,2180.08,4614.37,6794.45,1816.0,0.0,0.0,9489.75,0.0,0.0,9489.75,1350.0,0.0,1350.0,0.0,0.0,0.0,0.0,0.0,39.99,69.99,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.1052631578947372,424,93.5,43.3,3.31,46.89,2.1,1.0,1,1,1,5.502857142857144,0.0064890797050239785,0.0999778718305504,0.4150643986042693,21.550133342217546,2.684834227639064,290.57142857142856,273.7142857142857,14.568571428571428,19.671428571428574,0.0,0.0,0.0,0.0,208550.0,4.16665
2017-12-31,DALLAS-FT WORTH TX,291,332,53620.29840442001,14576.255877577314,0.0,2750.99,11007.98,1710.38,16562.3,18272.68,1856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.99,69.99,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.1052631578947372,376,95.27,40.48,2.26,52.53,2.1,1.0,1,1,1,7.7376623376623375,0.001655840427515069,0.00184873949579832,0.0012605042016806726,42.4064183964184,21.40377085877086,176.66125541125538,177.23484848484847,15.488474025974028,19.98181818181818,0.0,0.0,0.0,0.0,173802.0,1.0
2017-12-31,EUREKA CA,113,152,17075.924915368,4641.955720488571,0.0,204.07,777.61,440.42,437.85,878.27,126.0,0.0,0.0,2743.8,0.0,0.0,2743.8,2349.0,0.0,2349.0,0.0,0.0,0.0,0.0,0.0,39.99,69.99,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.1052631578947372,157,79.64,20.93,1.66,57.06,2.1,1.0,1,1,1,3.45,0.13366502156418125,0.0,0.0,60.05357142857143,46.98214285714285,169.28571428571428,156.07142857142858,11.25,14.628571428571426,0.0,0.0,0.0,0.0,55349.0,2.5
2017-12-31,GREENVILLE-NEW BERN-WASH NC,237,293,48466.885875672,13175.341263205239,0.0,835.9,4402.4,1869.29,2651.73,4521.02,1281.0,0.0,0.0,9456.55,0.0,0.0,9456.55,7845.0,0.0,7845.0,0.0,0.0,0.0,0.0,0.0,39.99,69.99,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.1052631578947372,281,88.01,33.47,3.37,51.18,2.1,1.0,1,1,1,9.814285714285717,0.06518386970172682,0.4982443886645567,1.5185760667903525,33.49285714285715,13.554365079365079,241.42857142857144,190.0,20.428571428571427,28.52857142857143,0.0,0.0,0.0,0.0,157098.0,0.0
